loan_id,id,user_id,customer_id,loan_type,principal,principal_amount,tenure_months,interest_rate,interest_rate_apr,emi_amount,monthly_emi,months_paid,months_remaining,emi_day,next_due_date,status,nach_mandate_active,created_at
LN00000,LN00000,USR0000,USR0000,HOME_LOAN,2780000,2780000.0,174,9.28,9.28,29121,29121.0,31,143,2,2026-09-02,ACTIVE,1,2023-03-31 00:00:00
LN00001,LN00001,USR0001,USR0001,CREDIT_CARD_DEBT,220000,220000.0,22,38.57,38.57,14102,14102.0,15,7,1,2026-09-01,ACTIVE,1,2021-10-09 00:00:00
LN00002,LN00002,USR0001,USR0001,PERSONAL_LOAN,560000,560000.0,12,13.53,13.53,50157,50157.0,6,6,2,2026-09-02,ACTIVE,1,2021-10-09 00:00:00
LN00003,LN00003,USR0002,USR0002,EDUCATION_LOAN,1050000,1050000.0,104,9.12,9.12,14643,14643.0,9,95,8,2026-09-08,ACTIVE,1,2022-02-02 00:00:00
LN00004,LN00004,USR0003,USR0003,HOME_LOAN,6340000,6340000.0,178,8.49,8.49,62744,62744.0,25,153,2,2026-09-02,ACTIVE,1,2023-02-25 00:00:00
LN00005,LN00005,USR0004,USR0004,PERSONAL_LOAN,250000,250000.0,18,14.26,14.26,15509,15509.0,11,7,6,2026-09-06,ACTIVE,1,2023-04-09 00:00:00
LN00006,LN00006,USR0005,USR0005,VEHICLE_LOAN,1050000,1050000.0,44,9.98,9.98,28594,28594.0,25,19,3,2026-09-03,ACTIVE,1,2024-04-16 00:00:00
LN00007,LN00007,USR0006,USR0006,VEHICLE_LOAN,790000,790000.0,40,11.3,11.3,23794,23794.0,34,6,10,2026-09-10,ACTIVE,1,2024-01-11 00:00:00
LN00008,LN00008,USR0007,USR0007,HOME_LOAN,6070000,6070000.0,276,8.63,8.63,50664,50664.0,42,234,3,2026-09-03,ACTIVE,1,2023-05-25 00:00:00
LN00009,LN00009,USR0008,USR0008,EDUCATION_LOAN,1810000,1810000.0,82,10.39,10.39,30920,30920.0,47,35,4,2026-09-04,ACTIVE,1,2023-03-14 00:00:00
LN00010,LN00010,USR0009,USR0009,VEHICLE_LOAN,1050000,1050000.0,75,11.47,11.47,19677,19677.0,44,31,8,2026-09-08,ACTIVE,1,2022-05-08 00:00:00
LN00011,LN00011,USR0009,USR0009,CREDIT_CARD_DEBT,180000,180000.0,33,39.07,39.07,8980,8980.0,14,19,2,2026-09-02,ACTIVE,1,2022-05-08 00:00:00
