user_id,avg_monthly_income,income_volatility,income_trend,months_since_last_income,avg_monthly_essential_spend,avg_monthly_discretionary_spend,essential_to_income_ratio,discretionary_to_income_ratio,burn_rate_trend,spending_spike_count,current_balance,avg_balance_30d,min_balance_30d,balance_trend,days_until_zero,total_emi_burden,emi_to_income_ratio,missed_emi_count,emi_payment_consistency,max_single_medical_txn,medical_spend_spike,income_drop_flag,income_drop_pct,large_unexpected_debit,risk_label
USR0000,45021,0.0266,-0.0034,0.8,44668,6481,0.9922,0.144,-0.0069,0,102730,105281,68856,-189.2,542,29121,0.6468,0,1.0,959,1.1688,0,-0.0266,16,at_risk
USR0001,56057,0.2276,-0.0608,0.1,69663,12940,1.2427,0.2308,-0.0246,0,52718,41265,20204,-164.41,320,64259,1.1463,1,0.9444,1472,0.6758,0,0.3385,23,at_risk
USR0002,42655,0.0337,-0.0106,0.8,27301,8756,0.64,0.2053,-0.0025,0,153891,162334,137510,159.32,999,14643,0.3433,0,1.0,623,0.9856,0,-0.0631,18,healthy
USR0003,82398,0.0266,0.0024,0.8,96715,13336,1.1738,0.1619,-0.0019,0,74277,84281,32583,43.87,999,62744,0.7615,0,1.0,889,1.818,0,0.0173,15,at_risk
USR0004,27669,0.0282,0.0087,0.2,23438,3949,0.8471,0.1427,0.0025,0,88975,97012,88975,-30.89,999,15509,0.5605,0,1.0,505,1.0557,0,-0.0353,13,healthy
USR0005,66547,0.0387,0.0058,0.8,48241,10604,0.7249,0.1593,0.0135,0,326419,327968,278682,90.76,999,28594,0.4297,0,1.0,627,0.9799,0,0.0702,18,healthy
USR0006,22308,0.3006,-0.1142,0.9,34147,6198,1.5307,0.2778,0.0189,0,57403,72827,57403,-638.23,89,23794,1.0666,0,1.0,323,0.7988,0,0.0527,15,critical
USR0007,48926,0.0557,0.0083,0.9,71610,11097,1.4636,0.2268,0.0042,0,14211,36245,14211,53.74,999,50664,1.0355,0,1.0,1208,1.3413,0,0.1369,15,at_risk
USR0008,58556,0.0377,0.0119,0.8,56444,11762,0.9639,0.2009,-0.0043,0,153054,173055,153054,-331.7,461,30920,0.528,0,1.0,1706,1.0048,0,0.0648,18,at_risk
USR0009,11476,0.424,-0.1954,0.8,25677,4248,2.2375,0.3702,-0.0647,0,5800,5660,0,-28.56,203,28657,2.4972,3,0.8333,540,1.3598,0,-0.0391,18,critical
USR0010,28552,0.0408,0.0083,0.9,30457,5898,1.0667,0.2066,-0.0,0,0,9813,0,-111.63,999,22442,0.786,0,1.0,281,0.8505,0,-0.042,20,at_risk
USR0011,54351,0.0389,-0.0073,0.8,63081,15182,1.1606,0.2793,0.0222,0,26901,34723,2427,-217.29,123,46485,0.8553,0,1.0,1227,0.6663,0,0.0966,22,at_risk
USR0012,69935,0.0302,0.0151,0.8,48307,15122,0.6907,0.2162,0.0302,0,244880,256081,215500,50.67,999,16410,0.2346,0,1.0,2480,2.582,0,-0.0312,18,healthy
USR0013,74410,0.1056,-0.0249,0.1,103279,13110,1.388,0.1762,-0.0168,0,62333,24758,0,-24.66,999,68799,0.9246,0,1.0,2660,2.0349,0,0.0659,27,at_risk
USR0014,63692,0.1338,0.0233,0.2,84632,16614,1.3288,0.2609,0.0033,0,57097,43963,17865,315.0,999,70145,1.1013,0,1.0,44037,0.0252,0,0.1915,11,at_risk
USR0015,10962,0.1322,0.0081,0.4,4387,1397,0.4002,0.1274,-0.0269,0,73608,70770,63832,144.66,999,0,0.0,0,1.0,158,1.0,0,-0.0555,9,healthy
USR0016,94136,0.2222,0.0032,0.0,75449,14133,0.8015,0.1501,0.0069,0,222136,181318,162009,282.54,999,48153,0.5115,0,1.0,1715,0.2643,0,-0.247,26,healthy
USR0017,30260,0.0285,-0.0042,0.9,27555,5102,0.9106,0.1686,-0.002,0,72782,80662,72782,-31.87,999,16528,0.5462,0,1.0,668,0.5786,0,0.052,16,healthy
USR0018,12679,0.136,-0.026,0.2,19006,3512,1.499,0.277,0.0178,0,7177,4646,0,-50.44,142,15217,1.2002,0,1.0,218,0.6402,0,0.325,9,at_risk
USR0019,123916,0.1257,0.0291,0.6,69019,25421,0.557,0.2051,-0.018,1,464488,437817,381254,1592.76,999,20948,0.1691,0,1.0,183369,1.5454,0,-0.1964,17,healthy
USR0020,53846,0.1964,-0.0823,0.0,57657,16059,1.0708,0.2982,0.0115,0,48840,21693,4630,-172.56,283,40396,0.7502,0,1.0,1554,1.0319,0,-0.1032,11,at_risk
USR0021,18035,0.4518,-0.1758,0.9,26144,7891,1.4497,0.4375,-0.0056,0,26164,36691,26164,-612.53,42,13004,0.7211,1,0.8889,1024,2.0,0,-0.0129,17,critical
USR0022,16432,0.0319,-0.0049,0.8,30729,3666,1.8701,0.2231,-0.0513,1,13137,14927,5353,137.69,999,17606,1.0714,0,1.0,129015,0.5104,0,0.0159,11,at_risk
USR0023,72714,0.2488,0.0195,0.1,87535,22562,1.2038,0.3103,0.0078,0,15796,13742,0,-1722.72,9,80242,1.1035,2,0.9259,2034,0.7856,0,-0.4033,17,critical
USR0024,21028,0.0879,-0.0111,0.0,4975,4155,0.2366,0.1976,-0.0408,0,175870,168742,160995,303.41,999,0,0.0,0,1.0,351,1.4327,0,-0.0201,9,healthy
USR0025,38140,0.0747,0.0283,0.4,79510,7485,2.0847,0.1962,-0.0094,0,4594,15210,4594,-136.37,33,65990,1.7302,0,1.0,44206,0.0278,0,-0.1788,20,at_risk
USR0026,44340,0.025,-0.003,0.8,34378,5097,0.7753,0.115,-0.0272,0,123367,133261,123255,269.64,999,14507,0.3272,0,1.0,1126,2.7564,0,0.0541,18,healthy
USR0027,46622,0.0333,0.0048,0.9,43901,6131,0.9416,0.1315,-0.0142,0,102409,115664,102409,-147.64,693,28084,0.6024,0,1.0,896,1.3302,0,0.065,25,at_risk
USR0028,25239,0.0366,-0.0014,0.8,22694,5196,0.8991,0.2059,0.0022,0,14277,23788,14277,-82.36,173,14895,0.5902,0,1.0,471,1.183,0,0.0662,21,healthy
USR0029,75243,0.1253,0.0046,0.2,79994,12797,1.0631,0.1701,-0.0158,0,54686,68062,44626,-358.3,152,61497,0.8173,0,1.0,1471,0.4124,0,-0.2061,11,at_risk
USR0030,26448,0.0181,-0.006,0.8,51163,5156,1.9345,0.1949,0.0087,0,4277,11188,32,-110.44,38,44606,1.6866,0,1.0,233,0.4133,0,-0.0172,18,at_risk
USR0031,117955,0.0271,0.0048,0.9,118499,21601,1.0046,0.1831,0.0302,0,60890,91493,31880,-616.5,98,85367,0.7237,0,1.0,1467,0.7616,0,0.0398,23,at_risk
USR0032,45435,0.0575,-0.0069,0.9,53961,9745,1.1877,0.2145,0.0013,0,20628,33495,8405,-8.11,999,42262,0.9302,0,1.0,1223,2.4242,0,0.0428,20,at_risk
USR0033,48490,0.031,-0.001,0.9,15106,7996,0.3115,0.1649,-0.0456,0,271060,278792,271060,752.13,999,3379,0.0697,0,1.0,1112,0.323,0,-0.0127,21,healthy
USR0034,86497,0.0264,0.0082,0.9,54338,13482,0.6282,0.1559,-0.0405,1,427886,441419,388688,310.89,999,18697,0.2162,0,1.0,123390,0.0208,0,-0.0234,17,healthy
USR0035,30015,0.0325,0.0025,0.9,29939,7416,0.9975,0.2471,0.0208,0,6624,19705,6624,-399.75,16,16431,0.5474,0,1.0,1234,2.2768,0,0.0672,28,critical
USR0036,38441,0.0315,-0.0094,0.8,37526,6767,0.9762,0.176,-0.0126,0,76665,87731,71216,-367.29,208,21881,0.5692,0,1.0,624,1.0,0,0.0356,18,at_risk
USR0037,55228,0.026,0.0028,0.8,77784,7723,1.4084,0.1398,-0.0019,0,34762,42996,3537,113.97,999,58013,1.0504,0,1.0,1266,0.5969,0,0.0507,11,at_risk
USR0038,45928,0.0302,0.0137,0.6,19959,7215,0.4346,0.1571,-0.0287,0,316077,318307,291628,516.9,999,7904,0.1721,0,1.0,448,0.6241,0,0.0102,18,healthy
USR0039,27092,0.017,-0.0053,0.8,22270,4202,0.822,0.1551,0.0037,0,96865,103862,96865,-65.41,999,14693,0.5423,0,1.0,545,1.3625,0,0.0096,23,healthy
USR0040,49039,0.0174,0.0079,0.9,66449,8224,1.355,0.1677,-0.0278,0,2746,25980,2746,-192.2,14,60720,1.2382,2,0.9259,645,1.1488,0,-0.0016,19,critical
USR0041,16469,0.0349,-0.0119,0.9,7335,5118,0.4454,0.3108,-0.0012,0,57787,61672,53473,143.13,999,0,0.0,0,1.0,459,1.1181,0,0.0064,11,healthy
USR0042,68395,0.0251,0.0044,0.9,50677,12131,0.741,0.1774,-0.0076,0,140380,160076,137871,327.09,999,27879,0.4076,0,1.0,1033,0.8664,0,-0.0404,19,healthy
USR0043,47750,0.0374,-0.0019,0.9,101629,9135,2.1284,0.1913,0.0053,0,32883,45310,32883,-337.23,97,88040,1.8438,0,1.0,1122,0.6851,0,0.032,9,at_risk
USR0044,41076,0.021,0.0014,0.9,42079,8433,1.0244,0.2053,-0.0226,0,38906,40809,22559,-189.02,205,45193,1.1002,2,0.8889,1013,1.1543,0,-0.0378,25,at_risk
